nary syndrome in Chile. J Infect Dis 2007;​,"national Society for Infectious Diseases,",infection in Switzerland: a multidisci-,
195:​1563-71.,"January 7, 2009 (http://www​.­promedmail​","plinary challenge, two cases and a litera-",
"19. Lázaro ME, Cantoni GE, Calanni LM,",.­org/​­post/​­20190108​.­6248358.,ture review. Clin Infect Dis 2018;​67:​1788-,
"et al. Clusters of hantavirus infection,","29. García M, Iglesias A, Landoni VI, et al.",95.,
southern Argentina. Emerg Infect Dis,Massive plasmablast response elicited in,"37. Martinez-Valdebenito C, Calvo M,",
2007;​13:​104-10.,the acute phase of hantavirus pulmonary,"Vial C, et al. Person-to-person household",
"20. Iglesias AA, Bellomo CM, Martínez",syndrome. Immunology 2017;​151:​122-35.,and nosocomial transmission of andes,
VP. Síndrome pulmonar por hantavirus en,"30. Bellomo CM, Pires-Marczeski FC,","hantavirus, Southern Chile, 2011. Emerg",
"Buenos Aires, 2009-2014. Medicina (B Aires)",Padula PJ. Viral load of patients with,Infect Dis 2014;​20:​1629-36.,
2016;​76:​1-9.,hantavirus pulmonary syndrome in Argen-,"38. Castillo C, Villagra E, Sanhueza L,",
"21. Watson DC, Sargianou M, Papa A,",tina. J Med Virol 2015;​87:​1823-30.,"Ferres M, Mardones J, Mertz GJ. Preva-",
"Chra P, Starakis I, Panos G. Epidemiol­","31. Obadia T, Haneef R, Boëlle P-Y. The",lence of antibodies to hantavirus among,
ogy of Hantavirus infections in humans:,R0 package: a toolbox to estimate repro-,family and health care worker contacts of,
"a comprehensive, global overview. Crit Rev",duction numbers for epidemic outbreaks.,persons with hantavirus cardiopulmo-,
Microbiol 2014;​40:​261-72.,BMC Med Inform Decis Mak 2012;​12:​147.,nary syndrome: lack of evidence for noso-,
22. World Health Organization. Hanta­,"32. Cori A, Ferguson NM, Fraser C, Cau-",comial transmission of Andes virus to,
virus pulmonary syndrome — Argentine,chemez S. A new framework and software,health care workers in Chile. Am J Trop,
Republic. 2019 (https://www​.­who​.­int/​­csr/​,to estimate time-varying reproduction num-,Med Hyg 2004;​70:​302-4.,
­don/​­23​-­January​-­2019​-­hantavirus​-­argentina/​,bers during epidemics. Am J Epidemiol,"39. Parrish CR, Holmes EC, Morens DM,",
­en/​­).,2013;​178:​1505-12.,et al. Cross-species virus transmission,
"23. Lloyd-Smith JO, Schreiber SJ, Kopp PE,","33. Castillo C, Naranjo J, Sepúlveda A,",and the emergence of new epidemic dis-,
Getz WM. Superspreading and the effect,"Ossa G, Levy H. Hantavirus pulmonary",eases. Microbiol Mol Biol Rev 2008;​72:​,
of individual variation on disease emer-,"syndrome due to Andes virus in Temuco,",457-70.,
gence. Nature 2005;​438:​355-9.,Chile: clinical experience with 16 adults.,"40. Geoghegan JL, Holmes EC. Predicting",
24. Stein RA. Super-spreaders in infec-,Chest 2001;​120:​548-54.,virus emergence amid evolutionary noise.,
tious diseases. Int J Infect Dis 2011;​15(8):​,"34. Knust B, Macneil A, Rollin PE. Hanta-",Open Biol 2017;​7:​170189.,
e510-e513.,virus pulmonary syndrome clinical find-,"41. Park M, Loverdo C, Schreiber SJ,",
"25. Baize S, Pannetier D, Oestereich L, et al.",ings: evaluating a surveillance case defi-,Lloyd-Smith JO. Multiple scales of selec-,
Emergence of Zaire Ebola virus disease in,nition. Vector Borne Zoonotic Dis 2012;​,tion influence the evolutionary emer-,
Guinea. N Engl J Med 2014;​371:​1418-25.,12:​393-9.,gence of novel pathogens. Philos Trans R,
26. Holmes KV. Structural biology: adap-,"35. Chapman LE, Ellis BA, Koster FT,",Soc Lond B Biol Sci 2013;​368:​20120333.,
tation of SARS coronavirus to humans.,et al. Discriminators between hantavirus-,42. Bartlett MS. The critical community,
Science 2005;​309:​1822-3.,infected and -uninfected persons enrolled,size for measles in the United States. J R,
"27. Liu Y, Eggo RM, Kucharski AJ. Sec-",in a trial of intravenous ribavirin for pre-,Stat Soc A 1960;​123:​37-44.,
ondary attack rate and superspreading,sumptive hantavirus pulmonary syndrome.,"43. Anderson RM, Anderson B, May RM.",
events for SARS-CoV-2. Lancet 2020;​395:​,Clin Infect Dis 2002;​34:​293-304.,Infectious diseases of humans:​dynamics,
e47.,"36. Kuenzli AB, Marschall J, Schefold JC,","and control. Oxford, England:​Oxford",
28. Hantavirus — Americas (02):​Chile,et al. Hantavirus cardiopulmonary syn-,"University Press, 1991.",
(Los Lagos) ex Argentina (Chubut). Inter-,drome due to imported Andes hantavirus,Copyright © 2020 Massachusetts Medical Society.,
n engl j med 383;23,nejm.org,"December 3, 2020",2241
